shipment_id,customer_id,shipper_id,service_id,weight_kg,shipment_date,delivery_date,status,shipping_cost
2064,476,1,ECO12,46.89,2022-12-26,2023-01-24,Delivered,1593.3221999999998
2065,128,10,AIR6,54.13,2022-08-20,2022-09-15,Delivered,458.4811000000001
2066,424,1,OVE3,21.17,2023-10-14,,Pending,951.5915000000001
2067,509,10,SEA7,51.13,2022-11-24,2022-12-17,Delivered,1847.8382000000001
2068,459,3,FRE5,30.71,2023-09-11,2023-09-26,Delivered,559.5362
2069,575,18,AIR6,53.05,2022-06-30,2022-07-25,Delivered,449.3335
2070,13,1,ECO4,31.57,2022-03-25,2022-04-13,Delivered,1198.0815
2071,340,7,FRE5,60.33,2023-12-17,2024-01-13,Delivered,1099.2125999999998
2072,106,16,STA8,98.9,2022-05-18,,Pending,3672.1570000000006
2073,130,3,EXP9,77.71,2022-10-07,2022-10-27,Delivered,1713.5055
2074,375,9,OVE3,33.64,2022-08-01,2022-08-23,Delivered,1512.1180000000002
2075,373,6,ECO4,35.8,2022-05-26,2022-06-20,Delivered,1358.61
2076,423,5,EXP1,47.53,2022-01-27,2022-02-07,Delivered,1309.9268
2077,22,5,STA8,39.05,2023-04-04,2023-04-22,Delivered,1449.9265
2078,312,6,EXP1,59.45,2023-11-07,2023-11-22,Delivered,1638.442
2079,117,6,OVE3,33.61,2023-05-08,2023-05-13,Delivered,1510.7695
2080,499,19,SEA7,57.81,2022-09-04,2022-09-10,Delivered,2089.2534
2081,270,20,EXP1,47.69,2023-09-12,2023-09-25,Delivered,1314.3364
2082,250,3,OVE3,29.89,2022-09-20,2022-09-30,Delivered,1343.5555000000002
2083,164,15,OVE3,55.47,2022-12-21,2022-12-28,Delivered,2493.3765000000003
2084,228,13,ECO12,44.53,2023-04-11,2023-04-19,Delivered,1513.1293999999998
2085,281,2,PRE2,15.74,2023-02-19,,Pending,135.6788
2086,266,3,ECO12,99.07,2023-03-29,2023-04-20,Delivered,3366.3985999999995
2087,51,11,OVE11,14.93,2023-01-23,2023-01-26,Delivered,203.048
2088,178,17,EXP1,58.12,2022-05-11,2022-05-14,Delivered,1601.7871999999998
2089,75,1,PRE10,20.74,2023-04-19,2023-05-04,Delivered,430.5624
2090,306,12,OVE11,4.96,2023-09-22,2023-09-23,Delivered,67.456
2091,442,15,STA8,47.7,2022-09-15,2022-10-11,Delivered,1771.1010000000003
2092,128,19,SEA7,87.58,2022-07-10,2022-07-21,Delivered,3165.1412
2093,60,14,ECO4,62.34,2023-05-19,2023-06-14,Delivered,2365.8030000000003
2094,412,18,PRE2,86.69,2022-04-24,2022-05-08,Delivered,747.2678
2095,35,1,ECO12,53.95,2022-07-22,,Pending,1833.221
2096,196,19,ECO12,76.46,2022-03-01,2022-03-05,Delivered,2598.1107999999995
2097,591,4,FRE5,92.1,2022-07-29,2022-08-10,Delivered,1678.062
2098,10,7,PRE10,20.81,2022-03-01,2022-03-08,Delivered,432.0156
2099,363,19,PRE2,58.95,2023-08-29,2023-09-06,Delivered,508.149
2100,260,13,AIR6,31.12,2022-08-10,2022-08-12,Delivered,263.5864
2101,530,18,AIR6,27.51,2022-12-17,2022-12-20,Delivered,233.00970000000004
2102,252,10,FRE5,91.26,2022-11-10,2022-11-26,Delivered,1662.7572
2103,184,18,PRE2,7.9,2022-03-27,2022-04-09,Delivered,68.098
2104,30,8,AIR6,97.87,2022-06-12,2022-07-10,Delivered,828.9589000000001
2105,50,20,ECO4,77.07,2022-07-01,2022-07-10,Delivered,2924.8065
2106,554,4,EXP1,21.51,2022-01-17,2022-01-21,Delivered,592.8156
2107,261,5,ECO4,57.97,2022-04-12,2022-04-25,Delivered,2199.9615000000003
2108,332,10,ECO4,0.93,2022-03-28,2022-04-20,Delivered,35.2935
2109,478,9,ECO12,34.25,2022-08-28,2022-09-25,Delivered,1163.8149999999998
2110,513,5,ECO12,15.81,2022-05-21,2022-05-22,Delivered,537.2238
2111,467,2,OVE11,14.21,2022-07-22,2022-08-21,Delivered,193.256
2112,240,1,PRE2,41.02,2023-03-19,2023-03-29,Delivered,353.5924
2113,548,5,ECO12,61.77,2022-11-05,2022-11-29,Delivered,2098.9446
2114,39,10,FRE5,26.4,2022-08-07,2022-09-05,Delivered,481.0079999999999
2115,251,12,OVE11,78.48,2023-08-13,2023-08-28,Delivered,1067.328
2116,161,12,FRE5,99.88,2023-09-24,2023-10-16,Delivered,1819.8135999999997
2117,84,10,ECO12,9.48,2023-09-07,2023-09-30,Delivered,322.1304
2118,597,12,FRE5,72.56,2022-11-11,2022-11-20,Delivered,1322.0432
2119,591,18,STA8,65.92,2022-11-20,2022-12-06,Delivered,2447.6096000000002
2120,78,6,OVE11,10.09,2023-06-01,2023-06-13,Delivered,137.224
2121,526,17,SEA7,11.66,2023-06-07,,Pending,421.3924
2122,55,10,EXP1,21.37,2023-05-08,2023-05-15,Delivered,588.9572
2123,544,5,PRE10,48.53,2022-03-26,2022-04-06,Delivered,1007.4828000000001
2124,128,12,ECO12,73.97,2023-07-31,2023-08-09,Delivered,2513.5006
2125,478,5,ECO4,34.36,2023-12-22,,Pending,1303.962
2126,504,13,STA8,75.56,2022-03-11,2022-03-28,Delivered,2805.5428
2127,267,7,OVE3,12.86,2022-12-03,2023-01-02,Delivered,578.057
2128,403,6,PRE10,66.6,2023-02-04,2023-02-11,Delivered,1382.616
2129,321,7,OVE3,53.39,2023-04-20,2023-05-15,Delivered,2399.8805
2130,15,9,SEA7,75.56,2023-06-19,2023-06-27,Delivered,2730.7384
2131,219,9,FRE5,69.96,2023-10-06,2023-10-07,Delivered,1274.6711999999998
2132,1,19,EXP9,41.79,2022-03-10,2022-03-14,Delivered,921.4695
2133,417,7,EXP1,16.47,2022-03-10,2022-03-18,Delivered,453.91319999999996
2134,253,8,EXP9,72.47,2023-12-29,2024-01-20,Delivered,1597.9635
2135,72,4,ECO12,19.39,2023-05-24,2023-06-11,Delivered,658.8721999999999
2136,261,4,STA8,37.92,2022-10-09,2022-10-17,Delivered,1407.9696000000001
2137,327,15,SEA7,60.23,2023-01-25,2023-02-20,Delivered,2176.7122
2138,567,8,OVE11,14.26,2023-06-14,2023-07-10,Delivered,193.93599999999998
2139,349,1,FRE5,14.47,2022-02-07,2022-03-08,Delivered,263.6434
2140,271,5,ECO4,27.38,2023-03-22,2023-04-04,Delivered,1039.0710000000001
2141,381,8,ECO12,79.12,2023-04-05,2023-04-27,Delivered,2688.4975999999997
2142,218,14,SEA7,48.97,2023-07-19,2023-07-23,Delivered,1769.7758
2143,476,18,OVE3,62.82,2023-10-11,2023-10-19,Delivered,2823.759
2144,64,3,OVE11,98.62,2023-06-16,2023-07-03,Delivered,1341.232
2145,124,12,ECO4,48.51,2022-01-09,2022-02-02,Delivered,1840.9545
2146,275,14,FRE5,88.62,2022-06-01,2022-06-14,Delivered,1614.6564
2147,101,17,AIR6,94.11,2022-10-01,2022-10-21,Delivered,797.1117
2148,405,4,OVE3,8.63,2023-03-18,2023-03-28,Delivered,387.91850000000005
2149,176,16,OVE3,14.24,2023-08-24,2023-08-26,Delivered,640.0880000000001
2150,275,18,OVE3,85.1,2023-12-23,2024-01-20,Delivered,3825.245
2151,71,9,STA8,9.04,2022-06-17,2022-06-18,Delivered,335.6552
2152,446,14,OVE3,57.28,2023-10-30,2023-11-19,Delivered,2574.7360000000003
2153,287,6,SEA7,21.65,2023-07-30,,Pending,782.4309999999999
2154,588,7,OVE3,51.79,2022-11-15,2022-12-05,Delivered,2327.9605
2155,223,3,EXP9,33.65,2023-02-02,2023-02-27,Delivered,741.9825
2156,108,7,FRE5,43.5,2023-01-07,2023-02-04,Delivered,792.5699999999999
2157,252,9,PRE10,80.83,2023-02-22,2023-03-21,Delivered,1678.0308
2158,6,10,EXP1,21.88,2023-06-18,,Pending,603.0128
2159,457,15,ECO12,79.67,2023-08-25,2023-09-24,Delivered,2707.1866
2160,499,14,ECO12,30.86,2022-02-18,2022-02-26,Delivered,1048.6227999999999
2161,515,4,ECO4,65.81,2023-08-20,2023-09-18,Delivered,2497.4895
2162,166,12,ECO12,42.45,2022-03-10,2022-04-05,Delivered,1442.451
2163,504,6,ECO4,93.12,2023-05-09,2023-05-18,Delivered,3533.9040000000005
2164,556,10,ECO4,57.07,2023-07-22,2023-08-20,Delivered,2165.8065
2165,587,15,PRE10,17.48,2023-12-28,2024-01-17,Delivered,362.88480000000004
2166,230,1,FRE5,18.92,2023-10-17,,Pending,344.7224
2167,31,17,OVE3,48.65,2022-12-20,2022-12-25,Delivered,2186.8175
2168,226,11,OVE11,58.39,2023-01-09,,Pending,794.104
2169,520,14,OVE11,87.21,2023-09-26,2023-10-26,Delivered,1186.0559999999998
2170,419,6,ECO12,97.5,2022-04-28,2022-05-25,Delivered,3313.0499999999997
2171,110,9,EXP1,45.32,2022-07-02,2022-07-16,Delivered,1249.0192
2172,251,8,PRE2,39.99,2022-08-19,2022-08-28,Delivered,344.7138
2173,546,13,AIR6,80.8,2022-11-09,2022-11-19,Delivered,684.376
2174,192,9,SEA7,45.35,2023-08-21,2023-09-12,Delivered,1638.949
2175,187,17,STA8,55.34,2022-10-17,2022-10-27,Delivered,2054.7742000000003
2176,14,18,ECO4,12.95,2023-09-29,2023-10-02,Delivered,491.4525
2177,486,9,EXP9,44.65,2022-12-09,2022-12-22,Delivered,984.5325
2178,142,19,STA8,84.93,2023-09-12,2023-09-15,Delivered,3153.4509000000003
2179,179,20,OVE11,8.0,2023-07-24,2023-08-19,Delivered,108.8
2180,401,18,EXP9,71.54,2023-01-31,2023-02-05,Delivered,1577.457
2181,497,14,OVE11,25.15,2022-07-29,2022-08-02,Delivered,342.03999999999996
2182,531,13,AIR6,74.97,2022-07-24,2022-07-31,Delivered,634.9959
2183,411,6,SEA7,21.61,2022-04-02,2022-04-03,Delivered,780.9854
2184,564,4,ECO4,60.04,2023-01-12,2023-01-15,Delivered,2278.518
2185,414,15,PRE10,50.64,2022-08-05,2022-09-04,Delivered,1051.2864000000002
2186,525,3,STA8,35.27,2022-06-17,2022-07-08,Delivered,1309.5751000000002
2187,220,19,PRE10,66.81,2022-01-19,2022-01-28,Delivered,1386.9756000000002
2188,233,13,SEA7,91.71,2022-05-07,2022-05-27,Delivered,3314.3994
2189,490,2,ECO4,89.81,2023-09-13,2023-10-07,Delivered,3408.2895000000003
2190,147,12,SEA7,48.54,2023-09-21,2023-10-19,Delivered,1754.2356
2191,54,18,OVE3,12.82,2022-10-09,2022-10-11,Delivered,576.259
2192,440,1,SEA7,39.82,2022-04-13,2022-04-15,Delivered,1439.0948
2193,449,2,FRE5,50.76,2022-03-27,2022-04-09,Delivered,924.8471999999999
2194,545,4,ECO12,76.22,2022-08-31,2022-09-05,Delivered,2589.9556
2195,30,19,PRE2,22.3,2022-01-14,,Pending,192.226
2196,543,10,FRE5,79.58,2022-09-15,2022-09-24,Delivered,1449.9476
2197,131,18,FRE5,50.05,2022-10-15,2022-10-19,Delivered,911.911
2198,462,7,STA8,12.55,2023-04-06,2023-04-09,Delivered,465.98150000000004
2199,130,12,FRE5,65.74,2023-04-10,2023-04-18,Delivered,1197.7827999999997
2200,40,4,FRE5,89.55,2023-10-26,2023-11-09,Delivered,1631.6009999999999
2201,289,6,ECO12,72.3,2023-02-06,2023-02-27,Delivered,2456.7539999999995
2202,347,20,STA8,35.29,2023-02-15,2023-02-24,Delivered,1310.3177
2203,509,5,AIR6,19.99,2022-03-01,2022-03-12,Delivered,169.3153
2204,13,6,SEA7,8.97,2022-01-01,2022-01-30,Delivered,324.17580000000004
2205,446,2,STA8,53.95,2023-11-10,2023-12-02,Delivered,2003.1635000000003
2206,460,7,EXP1,93.7,2022-01-07,2022-02-01,Delivered,2582.372
2207,289,7,AIR6,24.91,2022-01-05,2022-01-17,Delivered,210.98770000000002
2208,500,11,EXP9,70.01,2022-09-30,2022-10-27,Delivered,1543.7205000000001
2209,402,6,ECO12,13.8,2022-11-09,2022-11-12,Delivered,468.924
2210,339,4,EXP1,10.87,2023-01-04,2023-01-10,Delivered,299.57719999999995
2211,163,16,ECO4,8.57,2022-02-15,2022-03-17,Delivered,325.23150000000004
2212,559,6,ECO4,62.54,2022-03-11,2022-03-24,Delivered,2373.393
2213,521,1,OVE3,3.02,2023-08-27,,Pending,135.749
2214,47,5,FRE5,17.99,2022-12-23,,Pending,327.77779999999996
2215,24,6,OVE3,57.29,2023-03-28,2023-04-05,Delivered,2575.1855
2216,3,4,EXP1,68.56,2022-03-15,2022-03-25,Delivered,1889.5136
2217,419,11,PRE10,57.61,2023-12-20,2023-12-30,Delivered,1195.9836
2218,558,8,ECO12,85.49,2023-03-18,2023-03-29,Delivered,2904.9501999999998
2219,517,17,SEA7,92.02,2022-03-15,,Pending,3325.6028
2220,139,5,EXP1,89.34,2023-05-14,2023-05-15,Delivered,2462.2104
2221,178,9,ECO12,46.69,2023-12-15,2024-01-03,Delivered,1586.5261999999998
2222,194,19,ECO4,91.21,2023-05-30,2023-06-25,Delivered,3461.4195
2223,273,7,ECO4,29.08,2022-08-09,2022-08-17,Delivered,1103.586
2224,322,17,AIR6,87.99,2022-08-27,2022-09-05,Delivered,745.2753
2225,496,4,OVE3,68.79,2023-10-07,2023-10-29,Delivered,3092.1105000000007
2226,100,16,OVE3,1.74,2022-10-11,2022-10-29,Delivered,78.21300000000001
2227,412,6,ECO12,70.26,2022-11-18,2022-12-06,Delivered,2387.4348
2228,578,8,EXP1,87.22,2023-11-19,2023-11-27,Delivered,2403.7832
2229,339,7,EXP1,66.05,2022-12-10,2022-12-13,Delivered,1820.3379999999997
2230,184,2,FRE5,42.69,2023-12-14,,Pending,777.8118
2231,263,7,FRE5,10.06,2022-04-15,2022-04-17,Delivered,183.29319999999998
2232,551,9,EXP9,92.53,2023-05-08,2023-06-01,Delivered,2040.2865000000002
2233,227,13,EXP9,53.42,2023-09-29,2023-10-27,Delivered,1177.911
2234,349,20,ECO4,85.69,2023-06-11,2023-06-26,Delivered,3251.9355
2235,295,11,OVE11,30.41,2023-08-17,2023-09-03,Delivered,413.57599999999996
2236,141,8,ECO12,68.38,2023-01-28,2023-01-31,Delivered,2323.5523999999996
2237,455,15,OVE11,79.75,2022-11-16,2022-11-22,Delivered,1084.6
2238,162,18,EXP1,62.27,2023-03-24,2023-04-20,Delivered,1716.1612
2239,74,11,FRE5,83.17,2023-08-05,2023-08-20,Delivered,1515.3573999999999
2240,377,13,ECO12,35.82,2023-08-27,2023-09-25,Delivered,1217.1635999999999
2241,86,13,OVE3,11.83,2022-09-18,2022-09-28,Delivered,531.7585
2242,37,19,FRE5,90.07,2022-10-31,2022-11-05,Delivered,1641.0753999999997
2243,318,13,EXP1,57.81,2023-09-18,2023-09-29,Delivered,1593.2436
2244,200,3,OVE3,24.99,2022-07-17,2022-07-26,Delivered,1123.3005
2245,31,9,FRE5,30.2,2022-07-31,2022-08-25,Delivered,550.2439999999999
2246,284,18,OVE11,76.73,2023-01-31,2023-02-19,Delivered,1043.528
2247,546,3,OVE11,65.82,2022-01-01,2022-01-27,Delivered,895.1519999999999
2248,458,4,PRE10,67.22,2022-02-11,2022-02-24,Delivered,1395.4872
2249,537,10,ECO12,90.49,2023-04-05,2023-04-25,Delivered,3074.8501999999994
2250,277,6,OVE3,70.11,2023-10-19,2023-11-14,Delivered,3151.4445
2251,425,8,SEA7,51.82,2022-01-16,2022-02-07,Delivered,1872.7748000000001
2252,492,11,EXP1,34.29,2022-08-17,2022-08-28,Delivered,945.0323999999999
2253,289,6,AIR6,61.57,2022-06-03,2022-06-29,Delivered,521.4979000000001
2254,132,4,ECO12,78.26,2023-12-31,2024-01-13,Delivered,2659.2748
2255,31,12,PRE2,57.91,2023-10-21,2023-11-14,Delivered,499.1841999999999
2256,401,9,AIR6,62.62,2022-07-17,,Pending,530.3914
2257,553,17,ECO12,9.72,2023-11-26,,Pending,330.2856
2258,435,1,STA8,86.28,2022-01-01,2022-01-24,Delivered,3203.5764000000004
2259,77,3,ECO12,74.81,2022-06-08,2022-07-07,Delivered,2542.0438
2260,52,13,AIR6,32.36,2022-01-01,2022-01-28,Delivered,274.0892
2261,468,9,OVE3,47.59,2023-01-10,2023-02-09,Delivered,2139.1705
2262,482,20,FRE5,77.72,2022-08-29,2022-09-27,Delivered,1416.0584
2263,189,7,STA8,85.57,2022-05-19,2022-06-08,Delivered,3177.2141
2264,542,19,OVE3,66.01,2022-07-25,2022-08-09,Delivered,2967.1495000000004
2265,131,11,OVE3,90.73,2022-08-06,2022-08-28,Delivered,4078.3135000000007
2266,13,8,SEA7,98.27,2022-08-12,2022-09-02,Delivered,3551.4778
2267,106,6,STA8,53.33,2022-10-31,2022-11-17,Delivered,1980.1429
2268,344,5,OVE11,8.63,2022-07-22,2022-08-08,Delivered,117.36800000000001
2269,208,6,AIR6,79.87,2023-07-28,2023-08-04,Delivered,676.4989
2270,371,8,ECO12,73.8,2023-01-21,2023-01-23,Delivered,2507.7239999999997
2271,60,2,AIR6,63.52,2022-11-04,2022-11-05,Delivered,538.0144
2272,397,10,OVE11,54.33,2022-01-14,2022-02-06,Delivered,738.8879999999999
2273,445,2,OVE11,97.51,2023-04-21,2023-05-08,Delivered,1326.136
2274,462,13,AIR6,63.93,2023-09-13,2023-10-07,Delivered,541.4871
2275,323,11,OVE11,42.6,2022-12-02,2022-12-18,Delivered,579.36
2276,97,18,EXP9,44.36,2023-12-27,2023-12-28,Delivered,978.138
2277,57,18,EXP9,38.39,2023-04-24,2023-05-04,Delivered,846.4995
2278,410,2,EXP1,96.88,2023-03-17,,Pending,2670.0128
2279,317,3,OVE11,7.33,2022-09-05,2022-10-04,Delivered,99.688
2280,266,20,PRE2,11.8,2023-09-28,2023-10-17,Delivered,101.716
2281,521,17,ECO12,30.63,2022-01-08,2022-01-10,Delivered,1040.8074
2282,296,2,PRE2,41.47,2022-02-02,2022-02-24,Delivered,357.47139999999996
2283,400,16,OVE3,23.42,2022-02-03,2022-03-03,Delivered,1052.729
2284,587,17,STA8,2.12,2022-08-26,2022-09-19,Delivered,78.71560000000001
2285,317,3,PRE10,14.3,2022-07-23,,Pending,296.86800000000005
2286,164,1,OVE11,59.16,2023-04-19,2023-05-09,Delivered,804.5759999999999
2287,64,14,EXP1,5.25,2023-10-01,2023-10-27,Delivered,144.69
2288,74,15,OVE11,74.74,2023-07-02,2023-07-28,Delivered,1016.4639999999999
2289,99,19,PRE10,45.4,2022-03-19,,Pending,942.504
2290,491,17,PRE2,22.83,2023-02-05,2023-02-20,Delivered,196.79459999999997
2291,120,12,EXP9,56.47,2022-09-21,2022-10-13,Delivered,1245.1635
2292,200,10,AIR6,57.18,2022-09-09,2022-09-19,Delivered,484.31460000000004
2293,476,8,PRE10,19.35,2022-05-26,2022-05-30,Delivered,401.7060000000001
2294,10,6,PRE10,21.12,2022-06-08,,Pending,438.45120000000003
2295,510,1,ECO12,81.14,2022-06-27,2022-07-06,Delivered,2757.1371999999997
2296,228,5,AIR6,11.84,2023-02-09,2023-02-14,Delivered,100.2848
2297,285,5,PRE2,70.36,2023-04-15,2023-05-04,Delivered,606.5032
2298,387,16,AIR6,68.01,2023-06-24,2023-06-25,Delivered,576.0447
2299,159,3,OVE3,87.08,2023-07-31,2023-08-06,Delivered,3914.246
2300,578,13,STA8,69.18,2022-06-12,2022-07-05,Delivered,2568.6534000000006
2301,512,6,SEA7,82.87,2023-08-19,2023-09-03,Delivered,2994.9218
2302,272,19,FRE5,73.24,2022-04-02,2022-04-23,Delivered,1334.4327999999998
2303,353,8,FRE5,60.35,2022-02-27,2022-03-03,Delivered,1099.577
2304,310,8,SEA7,44.14,2023-07-25,2023-08-02,Delivered,1595.2196000000001
2305,113,2,OVE11,49.81,2022-05-08,2022-06-02,Delivered,677.416
2306,416,12,FRE5,18.86,2023-06-28,2023-07-09,Delivered,343.62919999999997
2307,281,14,EXP9,93.33,2022-05-15,2022-05-25,Delivered,2057.9265
2308,92,4,AIR6,34.05,2023-07-12,2023-08-09,Delivered,288.4035
2309,537,11,ECO12,52.44,2022-10-01,2022-10-17,Delivered,1781.9111999999998
2310,83,7,AIR6,60.54,2022-11-21,2022-11-22,Delivered,512.7738
2311,31,15,AIR6,52.33,2023-02-01,2023-02-14,Delivered,443.23510000000005
2312,253,15,EXP1,38.8,2022-11-03,2022-11-15,Delivered,1069.328
2313,119,5,OVE11,7.25,2023-01-28,2023-01-29,Delivered,98.6
2314,209,6,PRE10,27.01,2023-08-24,2023-09-06,Delivered,560.7276
2315,389,19,ECO4,65.73,2023-10-20,2023-10-26,Delivered,2494.4535000000005
2316,163,13,PRE2,51.57,2023-06-30,2023-07-23,Delivered,444.5334
2317,407,1,PRE10,95.33,2023-12-13,2023-12-20,Delivered,1979.0508000000002
2318,205,6,ECO12,52.2,2023-03-09,2023-03-11,Delivered,1773.7559999999999
2319,411,1,OVE11,52.29,2023-07-24,2023-08-09,Delivered,711.144
2320,102,5,ECO12,70.04,2023-09-08,2023-09-09,Delivered,2379.9592
2321,521,1,EXP1,33.13,2023-05-27,2023-06-18,Delivered,913.0628
2322,49,7,PRE10,46.49,2022-02-28,2022-03-24,Delivered,965.1324000000001
2323,235,12,PRE10,7.82,2022-09-30,2022-10-10,Delivered,162.34320000000002
2324,313,9,PRE2,74.14,2022-10-06,,Pending,639.0867999999999
2325,532,2,EXP1,35.47,2023-06-07,2023-06-20,Delivered,977.5532
2326,258,6,PRE2,80.56,2023-12-17,2023-12-22,Delivered,694.4272
2327,171,20,AIR6,68.97,2023-10-25,2023-11-22,Delivered,584.1759000000001
2328,85,3,OVE11,47.71,2023-07-08,,Pending,648.856
2329,351,18,PRE2,82.21,2023-06-08,2023-06-15,Delivered,708.6501999999999
2330,492,19,SEA7,73.88,2022-09-12,2022-10-06,Delivered,2670.0232
2331,581,3,PRE2,43.34,2022-10-20,2022-11-11,Delivered,373.5908
2332,590,10,PRE2,56.52,2022-03-09,2022-03-24,Delivered,487.20239999999995
2333,384,17,EXP1,80.04,2023-05-29,2023-05-31,Delivered,2205.9024
2334,48,10,STA8,9.89,2022-07-28,2022-08-03,Delivered,367.2157
2335,495,5,ECO12,56.41,2022-08-11,2022-08-19,Delivered,1916.8117999999997
2336,341,12,EXP1,44.49,2022-03-06,2022-03-30,Delivered,1226.1444
2337,373,16,EXP1,76.94,2022-07-03,2022-07-06,Delivered,2120.4664
2338,481,6,FRE5,29.93,2023-12-09,2023-12-18,Delivered,545.3245999999999
2339,319,12,STA8,82.76,2022-05-20,2022-05-30,Delivered,3072.8788000000004
