ProductID,ProductName,CategoryID,SupplierID,UnitPrice,StockQuantity,Unit
75,Vargas-Bell File Cabinet,20,18,24.52,418,back
76,Murray-Johnson Notebook,10,9,2347.63,68,home
77,Jones-Lin Blender,4,9,1857.33,79,top
78,Gilbert Desk Organizer,10,7,530.52,175,if
79,Carpenter-Best Running Shoes,9,30,1223.89,463,single
80,Cole Smartphone,2,9,1587.54,424,reach
81,Morris Smartphone,2,21,837.22,66,more
82,Rosario Dumbbell Set,9,23,1854.37,282,board
83,Haas-Miller Dash Cam,14,29,29.13,38,race
84,Williams Belt,5,19,94.89,189,left
85,Warren-Bishop Sandals,18,10,1077.32,21,himself
86,Hardin-Hughes Olive Oil,12,22,2247.82,107,stage
87,Shelton-Williams Shampoo,8,29,887.43,286,program
88,Cook Dash Cam,14,30,1874.95,473,imagine
89,King-York Face Cream,8,6,2440.63,415,what
90,Marks Car Vacuum,14,11,452.5,473,chance
91,Collins-Douglas Tire Inflator,14,23,670.68,403,recognize
92,Anderson-Fletcher Air Fryer,4,16,2181.06,439,become
93,Hansen-Schneider Face Cream,8,12,2042.38,235,get
94,Santiago Pen Set,10,7,561.19,337,reveal
95,Davis Dining Table,13,25,700.11,35,affect
96,Parker-Bean Tent,9,22,1605.5,204,growth
97,Lee-Cooke Boots,18,29,2348.4,59,clear
98,Phillips Dumbbell Set,9,2,1453.57,135,movement
99,Conley Washing Machine,4,26,1089.24,373,great
100,Anderson Remote Car,11,4,1517.49,261,theory
101,Wise Bed Frame,13,23,479.25,22,left
102,Jenkins Car Vacuum,14,18,1302.2,412,serve
103,Montes Baby Bottle,7,22,1081.09,485,feel
104,Bowers Lego Set,11,4,788.22,434,table
105,Mckee-Lee Desk Organizer,10,11,776.67,209,resource
106,Joyce Dining Table,13,14,1388.26,98,idea
107,Rose Sofa,13,13,1540.71,154,suddenly
108,Taylor Backpack,18,14,763.17,107,two
109,Spencer-Garcia Flower Pot,19,15,1638.49,238,throughout
110,Rosales Blood Pressure Monitor,15,29,1280.38,406,explain
111,Whitehead-Hernandez Dress,6,21,713.05,339,leave
112,Potts Desk Lamp,20,25,238.0,487,technology
113,Wilkerson-Arias Perfume,8,5,565.48,101,join
114,Sanders Smart TV,1,20,615.88,243,eat
115,Vang-Brooks Monitor,3,19,1039.03,322,ahead
116,Galvan-Combs Kids Backpack,7,5,1238.47,124,rate
117,Moody-Taylor Smart TV,1,6,1947.16,112,few
118,Horton-Taylor Earrings,17,30,130.29,127,season
119,West-Smith Air Fryer,4,22,337.68,237,base
120,Scott Ring,17,25,1490.65,486,official
121,Lynch First Aid Kit,15,17,2038.44,456,economy
122,Martinez-Allen Dash Cam,14,24,1117.55,81,purpose
123,Bryant Pet Bed,16,27,651.68,126,picture
124,Smith Running Shoes,9,9,1214.07,122,charge
125,Patterson-Mendez Vitamin Pack,15,9,1785.29,120,effect
126,Butler Action Figure,11,5,2233.1,41,herself
127,Ashley Jeans,5,23,960.67,78,movement
128,Spencer Baby Stroller,7,18,1040.1,169,prove
129,Zavala-King Thermometer,15,14,160.35,426,admit
130,Kramer-Cooper Bed Frame,13,28,2365.42,10,significant
131,Fuller Tool Kit,19,12,1195.06,482,go
132,Williams Backpack,10,27,2134.35,488,ground
133,Thompson Dash Cam,14,26,1870.05,279,safe
134,Welch-Cain Stapler,20,14,1223.13,139,at
135,Parsons Dog Food,16,22,975.2,342,animal
136,Blackwell Sofa,13,5,2102.06,470,worker
137,Robertson-Hays File Cabinet,20,19,72.28,201,of
138,King-Mullins Garden Hose,19,5,214.45,219,cut
139,Kelly-Norman Blood Pressure Monitor,15,11,130.46,194,tree
140,Rivera Kids Backpack,7,29,820.48,389,visit
141,Paul-Kline Dining Table,13,14,1881.26,425,imagine
142,Beltran-Crawford Yoga Mat,9,18,1178.42,383,modern
143,Glass-Stone Screen Protector,2,25,564.43,35,suddenly
144,Acosta Smartphone,2,27,2374.28,102,law
145,Carney Router,1,16,385.19,64,board
146,Murphy Washing Machine,4,23,2369.65,238,follow
147,Morrison-Simmons Tent,9,24,423.63,310,road
148,Bell-Williams Microwave,4,19,2411.98,55,true
149,Mendez-Graham Headphones,1,13,1441.61,464,purpose
150,Jones Sofa,13,27,194.61,353,into
